,part_in_%,walked_qty,cust_qty,r_f_qty,r_f_in_%,f_r_qty,f_r_in_%,f_o_qty,f_o_in_%,o_f_qty,o_f_in_%,sprint_start,sprint_end
0,1.2674007487099082,658024,51919174,196756,0.3789659673707444,198719,0.3827468441620431,123056,0.23701455651047146,110695,0.21320639654244114,2021-08-20,2021-08-21
1,1.2649315991582377,656742,51919171,176492,0.3399360902738605,197965,0.38129460888348926,114642,0.22080861036860547,138479,0.2667203603847989,2021-08-21,2021-08-22
2,1.3666277859308182,709534,51918599,202639,0.39030136387154823,214013,0.41220873467714336,135595,0.2611684494799253,126327,0.24331742849994856,2021-08-22,2021-08-23
3,1.3174227741476519,684030,51921829,202283,0.38959143754354264,199022,0.3833108421508033,127389,0.24534767448196018,126079,0.2428246508804611,2021-08-23,2021-08-24
4,1.2870991900000395,668281,51921484,205231,0.39527183005786204,177956,0.3427405888475761,129424,0.2492686842309823,126999,0.24459817057617228,2021-08-24,2021-08-25
5,1.3250785626438544,687977,51919714,200716,0.38658918652749125,195230,0.37602287254509914,126615,0.24386690573834827,135829,0.2616135366231024,2021-08-25,2021-08-26
6,1.338934103944885,695165,51919284,217944,0.41977466407279423,192720,0.37119155957543637,138986,0.2676962956576982,115588,0.22263018881385188,2021-08-26,2021-08-27
7,1.2748803480260784,661880,51917029,205087,0.39502838269115903,188629,0.3633278013655211,124981,0.24073218827679832,113942,0.2194694153242089,2021-08-27,2021-08-28
8,1.2827404787797958,665884,51911046,182306,0.3511892247364848,197758,0.3809555291950773,113797,0.2192153862590247,141340,0.27227345794573277,2021-08-28,2021-08-29
9,1.3713599020410976,711816,51905849,209031,0.4027118408177853,207418,0.3996042912235189,133980,0.2581211994047145,128074,0.24674290560202572,2021-08-29,2021-08-30
10,1.3591794131622499,705441,51901978,216256,0.4166623476276761,198978,0.38337267223226057,129410,0.24933539141803032,128698,0.24796357472156458,2021-08-30,2021-08-31
11,1.293084029930991,671075,51897246,208671,0.40208491988187584,176526,0.34014521695428696,125885,0.24256585792625682,129619,0.2497608447276759,2021-08-31,2021-09-01
12,1.350008015500322,700394,51880729,209343,0.40350820822120675,194359,0.37462657858951826,129218,0.24906743311182075,137825,0.26565740816787675,2021-09-01,2021-09-02
13,1.338228632623026,694105,51867445,213091,0.4108376651288684,190967,0.3681827782340156,136288,0.2627621237174879,124751,0.24051888424424994,2021-09-02,2021-09-03
14,1.2767006902001652,662003,51852639,203661,0.39276882320300033,191558,0.3694276775382638,125222,0.24149590534823118,113815,0.21949702502123375,2021-09-03,2021-09-04
15,1.2679033433913216,657286,51840387,180562,0.3483037269764209,196148,0.3783690889498954,114320,0.22052304509223666,139253,0.268618750859248,2021-09-04,2021-09-05
16,1.3558973991732342,702826,51834748,205828,0.3970849824523118,208578,0.402390303894214,135296,0.2610140981104027,125047,0.24124164739838228,2021-09-05,2021-09-06
17,1.3071129341577405,677473,51829722,201836,0.3894213439925454,194795,0.3758364746775991,126771,0.24459131769990974,127219,0.24545568660391423,2021-09-06,2021-09-07
18,1.274300759272831,660292,51816025,198006,0.38213274754286924,178658,0.3447929477415529,128436,0.24786926438297804,129262,0.2494633658216739,2021-09-07,2021-09-08
19,1.3157702495513786,681735,51812617,190826,0.36830025397095845,194622,0.37562665479722823,126732,0.24459679386586475,143240,0.27645775931372085,2021-09-08,2021-09-09
20,1.3518576974177245,700253,51799313,212211,0.409679178563623,195240,0.3769161957804344,141517,0.27320246505971996,123665,0.23873868751888658,2021-09-09,2021-09-10
