,part_of_all_in_%,customers_walked,all_customers
0,14.919258692730855,7995163,53589546
1,16.427125585407516,8865069,53966039
2,15.856392856163538,8604483,54265072
3,15.825106424137422,8624028,54495861
4,16.344690079044508,8931872,54646934
5,16.14155024646425,8874163,54977142
6,15.809291941366038,8729925,55220215
