customer_rk,gender
23820760,F
125058996,F
14675917,F
45718683,F
22682921,F
13718860,F
44843346,F
25788648,F
91446917,F
29839730,F
46174352,F
46991655,F
39164999,F
48568636,F
36920251,F
100300656,F
14315409,F
14612567,F
27134247,F
42785801,F
104993696,F
34837413,F
29186473,F
23997100,F
34979722,F
32007844,F
24112227,F
51404741,F
95684286,F
87239891,F
39294540,F
38886340,F
25363416,F
49100681,F
87765140,F
71829043,F
33858239,F
93378937,F
86526545,F
18876663,F
89205223,F
58247911,F
71327997,F
14794386,F
19677236,F
40362496,F
63438774,F
25637009,F
42579508,F
33167000,F
106875941,F
68361024,F
61691327,F
46359347,F
39924977,F
98822798,F
58688337,F
85160146,F
94847569,F
58691136,F
107105787,F
45410873,F
21839400,F
36387522,F
58559923,F
58058426,F
37251150,F
48562479,F
47922535,F
36097550,F
47845168,F
14225207,F
48391570,F
14032022,F
40758716,F
75787336,F
40727859,F
40115006,F
43164595,F
103124324,F
13960460,F
79663688,F
45714374,F
31755661,F
39101296,F
39038241,F
25562527,F
52331336,F
56955077,F
43279558,F
20881212,F
55080754,F
15263817,F
68848310,F
18149555,F
45579782,F
28630966,F
39881612,F
35866295,F
44564297,F
54446213,F
66386003,F
43729572,F
36769153,F
58107570,F
67463565,F
21722179,F
24054792,F
32796784,F
80802555,F
36552638,F
52141489,F
58049186,F
130546442,F
20394159,F
76247159,F
50690273,F
23191067,F
34960499,F
116069006,F
35142152,F
16845082,F
66349420,F
57791195,F
37166179,F
12289631,F
54018407,F
15829620,F
92258714,F
45226094,F
39572711,F
96496951,F
33783641,F
44514255,F
44357757,F
49520569,F
33112210,F
69283109,F
52622397,F
61094744,F
46858174,F
16335155,F
62305258,F
35768045,F
76583269,F
36240016,F
51191288,F
32356363,F
40237119,F
31560359,F
68973709,F
45675336,F
42320595,F
39928745,F
33657522,F
34542083,F
64502798,F
32536195,F
64342650,F
39469702,F
34410529,F
22586267,F
73570444,F
105928222,F
49960994,F
21587092,F
89727670,F
76481650,F
53088770,F
34152309,F
28221340,F
76019139,F
38734414,F
34449952,F
23850259,F
44438083,F
45327393,F
38037636,F
16985887,F
71695253,F
37818550,F
21339940,F
40077242,F
85269401,F
21958503,F
62547586,F
95674762,F
42752300,F
35694115,F
58162018,F
27758944,F
11416560,F
48069783,F
38607483,F
53334165,F
13802110,F
107270529,F
78927509,F
67572056,F
85821526,F
14716641,F
15571199,F
37360332,F
45849892,F
34294035,F
48488308,F
17475366,F
31652169,F
51972061,F
17464987,F
