customer_rk,gender
67187928,M
93318925,M
37833028,M
38080637,M
13060698,M
39801858,M
35891567,M
33678678,M
42062555,M
122910766,M
90356567,M
33539058,M
55401887,M
102147837,M
37504138,M
67097525,M
36789578,M
96738615,M
14993746,M
123958018,M
57639886,M
114681287,M
42782026,M
78861205,M
133745357,M
86998358,M
111104326,M
76574375,M
125446465,M
130800316,M
106965038,M
64543236,M
51510825,M
57840596,M
15988396,M
95480125,M
55262395,M
107449295,M
62996508,M
14144417,M
35393537,M
38709335,M
33568086,M
117705895,M
62523536,M
59885098,M
52875825,M
30056176,M
15028177,M
61341635,M
37818897,M
77969508,M
23152716,M
61474596,M
21886547,M
44036358,M
68556026,M
55672417,M
20285935,M
98246055,M
88643766,M
75303536,M
23353888,M
51286497,M
27630998,M
33502806,M
38767718,M
71695125,M
21592437,M
60988765,M
59617038,M
61758725,M
23857457,M
15919215,M
47673677,M
39721875,M
62421236,M
87904155,M
12610127,M
29624675,M
31751796,M
28751518,M
47343095,M
99504506,M
75122377,M
32905887,M
109455667,M
66528636,M
40104145,M
119207618,M
80347416,M
17537877,M
39392348,M
32764267,M
132440378,M
22956256,M
122350348,M
29735087,M
33116895,M
26981318,M
13769476,M
23830085,M
15614296,M
27665787,M
14622825,M
24237976,M
16180395,M
65228877,M
12184317,M
125058408,M
47188755,M
17376895,M
12483935,M
63116427,M
40565948,M
12041786,M
136764828,M
46041826,M
124904608,M
27046867,M
105350436,M
57905598,M
42311636,M
121603265,M
21617386,M
129502416,M
90141148,M
42967395,M
128958326,M
124317185,M
105237178,M
94331588,M
32054926,M
38953855,M
55285017,M
55635455,M
105169915,M
28749897,M
128988248,M
70647986,M
106408657,M
54867917,M
47650298,M
33860217,M
15550445,M
111193248,M
130995256,M
17103538,M
72669787,M
40623716,M
45200846,M
101107296,M
37148978,M
65904346,M
49882228,M
52656037,M
130039986,M
131749148,M
115392077,M
15470047,M
126662826,M
107958586,M
36529948,M
36356445,M
70271956,M
22260076,M
82448288,M
24324898,M
62584585,M
100878688,M
26508866,M
16054327,M
52522845,M
125792008,M
37154717,M
55151647,M
113760018,M
19071575,M
50534388,M
48472577,M
31637117,M
79513228,M
43621535,M
23157478,M
30231837,M
77044995,M
59322685,M
32313345,M
41612478,M
53281598,M
16168188,M
19538465,M
122123128,M
107101618,M
13903848,M
32929476,M
104843538,M
16370075,M
87091278,M
29199866,M
43649696,M
59960107,M
131587796,M
54069458,M
123114857,M
91659326,M
42501696,M
35716968,M
19926955,M
40894596,M
24594446,M
13999006,M
91077317,M
22861596,M
23965016,M
104830185,M
12142328,M
16995065,M
25448947,M
54656997,M
43613455,M
84229335,M
89244577,M
50389436,M
105687906,M
15451566,M
17057968,M
34478885,M
44577657,M
22140897,M
27338126,M
35524398,M
119016108,M
39837678,M
70369625,M
96071596,M
90419515,M
50621748,M
34403898,M
67686857,M
100873027,M
22186766,M
18540727,M
31091637,M
71280896,M
67870546,M
17477696,M
44449876,M
40331656,M
31566955,M
45852257,M
23238927,M
132518995,M
12585788,M
52129836,M
19203576,M
21323025,M
21157926,M
71517087,M
101914255,M
52997627,M
67340257,M
29194797,M
42990695,M
67241575,M
32776285,M
118251326,M
17050507,M
69475958,M
59121475,M
74289616,M
21920488,M
54263918,M
29160377,M
66332848,M
42211085,M
35202196,M
25729285,M
58600478,M
56821596,M
38115895,M
54171505,M
13791418,M
34951618,M
29725626,M
33768906,M
12286055,M
94437708,M
56222956,M
26034908,M
96583195,M
61611848,M
16668206,M
44744865,M
33937716,M
53032696,M
55428695,M
54059396,M
15123907,M
18527466,M
117972245,M
107404845,M
124173216,M
30195476,M
56496177,M
136238757,M
74593176,M
69805497,M
62242426,M
11934758,M
48495448,M
58934757,M
89084717,M
66318886,M
34607367,M
62252346,M
114477497,M
41085827,M
27237096,M
30513545,M
22933688,M
125786398,M
116007258,M
69637745,M
68215865,M
95522938,M
32359616,M
26305227,M
82055037,M
13287866,M
74411966,M
54947947,M
90244885,M
20037255,M
92206655,M
60553607,M
113235827,M
23910017,M
79747757,M
21739818,M
43349708,M
111066765,M
34422885,M
38919375,M
14382307,M
131656428,M
62021088,M
19271227,M
24752475,M
16562347,M
120459488,M
32795037,M
29409775,M
13822615,M
45141546,M
123751865,M
43449436,M
50437515,M
30469955,M
76136636,M
23094325,M
25336368,M
26689645,M
43735288,M
114681535,M
121567455,M
88863355,M
19951545,M
127480767,M
31588606,M
60349547,M
54371785,M
36210868,M
16936856,M
15020116,M
113190026,M
90046926,M
66962657,M
44844158,M
40330258,M
39810288,M
40161498,M
11669547,M
32564208,M
20866325,M
68175018,M
15530435,M
16953956,M
20854758,M
35637076,M
20857197,M
35186427,M
27094025,M
17649517,M
121392348,M
29230975,M
96356858,M
95317375,M
72384208,M
44092407,M
49141307,M
25627146,M
78373478,M
15637856,M
27958886,M
47906907,M
13760618,M
70602797,M
14333807,M
35808328,M
65392936,M
99063736,M
36688248,M
95049415,M
12168637,M
79993726,M
59266746,M
28545496,M
28847517,M
24540498,M
12066877,M
24231928,M
100201326,M
95056948,M
104445927,M
44657675,M
105536395,M
121137348,M
104674275,M
90754747,M
41216978,M
19042415,M
87983676,M
34296415,M
125651577,M
12154307,M
38669486,M
36954226,M
113306496,M
94549957,M
32766686,M
100931015,M
83777177,M
25526445,M
12672638,M
120536526,M
45816745,M
33580026,M
22230486,M
110348198,M
38776705,M
30038505,M
77326848,M
59840808,M
25155528,M
34075798,M
51822176,M
41423296,M
42181385,M
73356658,M
20447357,M
32067875,M
35772856,M
62167837,M
133729417,M
93455996,M
76781135,M
