customer_rk,gender
58581530,M
17143999,M
102875109,M
15618679,M
71766919,M
38040979,M
44925870,M
65184880,M
41079710,M
77480910,M
22206270,M
65799029,M
45004319,M
36382200,M
60987410,M
121330929,M
100716339,M
58574700,M
28881879,M
25344489,M
22308669,M
71369160,M
101111269,M
82743340,M
114491479,M
100325450,M
23284509,M
36684209,M
27036079,M
43206010,M
61887299,M
105034219,M
35595610,M
37505379,M
106657619,M
35747310,M
88694139,M
83836649,M
18769090,M
94836820,M
23294729,M
25727159,M
44341949,M
38357599,M
34196279,M
76534829,M
52456149,M
62058070,M
13661030,M
57286339,M
52363049,M
28942890,M
41539599,M
18096770,M
38520840,M
18942679,M
42040340,M
65715790,M
19361140,M
53850389,M
20252360,M
72364870,M
105393320,M
22868259,M
61569849,M
94590999,M
60871499,M
66346449,M
73979459,M
25359910,M
113936000,M
25517239,M
49610580,M
63346689,M
30599209,M
111160709,M
32448980,M
24913969,M
30232779,M
40609700,M
106596520,M
76056919,M
16476340,M
24832450,M
87802070,M
42856359,M
17941839,M
47511980,M
92769590,M
27399839,M
77274330,M
67501209,M
106809949,M
53410740,M
124255649,M
37373410,M
13714260,M
97208580,M
115682830,M
14257280,M
61290540,M
86735080,M
113304589,M
63409360,M
112270870,M
95854969,M
15677030,M
21408790,M
27624149,M
12063140,M
107179840,M
19107330,M
34384449,M
82635540,M
48689049,M
38776860,M
57632160,M
92942090,M
15385789,M
19292810,M
12234809,M
97711230,M
23349519,M
80136109,M
99804740,M
30556529,M
96695589,M
53110759,M
39860770,M
49507029,M
89787319,M
52796190,M
19857990,M
25105039,M
83215999,M
24709370,M
20330420,M
75790650,M
38358630,M
13157450,M
115288589,M
16339139,M
12912779,M
43935070,M
61233139,M
40048360,M
88135009,M
50835049,M
35813860,M
40212590,M
49375439,M
35303379,M
93602480,M
36493929,M
13264929,M
81346449,M
15404570,M
74598699,M
80928789,M
105468119,M
16324529,M
116870630,M
45572360,M
68361920,M
106010130,M
72563249,M
49507370,M
131874360,M
98605269,M
51811289,M
65254159,M
59431670,M
103099790,M
112092449,M
99626000,M
41202329,M
73132659,M
11891149,M
70774500,M
62495380,M
31068310,M
13041440,M
26039819,M
27336210,M
13432789,M
26939269,M
87010839,M
43604119,M
14047629,M
59647690,M
29815979,M
12183400,M
45975520,M
38357860,M
89901149,M
49706410,M
80921140,M
106114319,M
47599930,M
43917099,M
41960020,M
25703800,M
55415119,M
67700000,M
37546659,M
45746819,M
54249289,M
38645569,M
13545499,M
120290549,M
100417909,M
64778280,M
124499090,M
119388279,M
46737270,M
40228379,M
62170420,M
12214069,M
53501130,M
31484770,M
33852059,M
39658530,M
25761789,M
45665239,M
68359629,M
83631629,M
106955679,M
44415119,M
50430500,M
60209669,M
129997070,M
29222160,M
57688720,M
62631580,M
99325879,M
36526260,M
72755360,M
46297770,M
26976469,M
41951880,M
26304390,M
35764829,M
61317189,M
44562510,M
99376610,M
24130280,M
11787520,M
27607049,M
29692890,M
48803650,M
83384729,M
24613609,M
17891010,M
57451820,M
71823739,M
82304490,M
20684960,M
37334180,M
81161950,M
48574350,M
19489990,M
28835870,M
116469639,M
48944340,M
54841730,M
43808899,M
62796219,M
44814559,M
130684820,M
90087019,M
70166589,M
56581229,M
20973319,M
43112720,M
17234249,M
14742949,M
77499400,M
26680039,M
24647970,M
23616370,M
25484040,M
45643909,M
27739639,M
11757029,M
32557179,M
32556209,M
82520179,M
18582550,M
64336630,M
69861580,M
13249949,M
116364410,M
38260949,M
17106990,M
36378209,M
38383349,M
100181200,M
16683260,M
101781770,M
16096029,M
51383460,M
123490389,M
52098650,M
101895040,M
45192700,M
77767790,M
55687810,M
22749810,M
38051149,M
13491619,M
106106879,M
35915039,M
44009120,M
95597380,M
39835740,M
49700890,M
33259240,M
96196630,M
25440040,M
70196270,M
66027429,M
76417340,M
58634880,M
67424569,M
54209719,M
73322840,M
59902520,M
48824800,M
46591089,M
38104590,M
60814469,M
43785590,M
29264480,M
35751799,M
21766900,M
