customer_rk,gender
14645022,M
80362990,M
67187928,M
93318925,M
93408159,M
38964190,M
112238884,M
84395670,M
37833028,M
24215522,M
53411989,M
38080637,M
22943979,M
13060698,M
13507114,M
79678313,M
19709073,M
52188059,M
46214431,M
53361259,M
39801858,M
59625832,M
47621229,M
21662219,M
88349583,M
35891567,M
33678678,M
42062555,M
107074034,M
36211143,M
122910766,M
61558460,M
90356567,M
21129171,M
106887812,M
33539058,M
55401887,M
44138812,M
31727669,M
86911290,M
102147837,M
14022324,M
55420552,M
37504138,M
116453264,M
81043633,M
28774780,M
24213761,M
67097525,M
31091520,M
24986161,M
55501082,M
23287381,M
36789578,M
78015941,M
22413190,M
33760164,M
96738615,M
65110329,M
14993746,M
59018083,M
123958018,M
56417480,M
57639886,M
136028922,M
77280431,M
55776131,M
114681287,M
24588411,M
36058272,M
73591811,M
91334271,M
45816654,M
101219074,M
42782026,M
35640063,M
127865289,M
45920919,M
26053983,M
78861205,M
133745357,M
86998358,M
49070940,M
45661910,M
111104326,M
87628099,M
12499239,M
87863162,M
40930140,M
37351322,M
55644609,M
76574375,M
125446465,M
130800316,M
126528022,M
45049354,M
106965038,M
64543236,M
57217604,M
51510825,M
12051579,M
57840596,M
15988396,M
21986780,M
49125334,M
95480125,M
111535990,M
140342822,M
55262395,M
107449295,M
98475259,M
119328659,M
86082389,M
62996508,M
14144417,M
23411672,M
11902530,M
35393537,M
137357790,M
45126850,M
31402363,M
107099419,M
58736453,M
38709335,M
13228092,M
33568086,M
18924273,M
92489220,M
33945980,M
117705895,M
59289151,M
49115311,M
64056679,M
62523536,M
104666189,M
58641271,M
103365433,M
59885098,M
19351420,M
35595959,M
59856910,M
14876681,M
52875825,M
16652644,M
30056176,M
19055224,M
101963492,M
15028177,M
61341635,M
85129449,M
37818897,M
77969508,M
71725273,M
12051052,M
23152716,M
61474596,M
100659684,M
27957780,M
15427109,M
14351449,M
87117131,M
28290241,M
44962239,M
21886547,M
44036358,M
69523969,M
68556026,M
93513490,M
51141131,M
55672417,M
44357169,M
33774981,M
118220289,M
20285935,M
14890890,M
28612700,M
98246055,M
18532551,M
87788284,M
17842874,M
29416599,M
88643766,M
75303536,M
91629070,M
23353888,M
51286497,M
42011129,M
27630998,M
33502806,M
38767718,M
71695125,M
43600022,M
23837342,M
97748532,M
29127461,M
21592437,M
116484063,M
60988765,M
59617038,M
61758725,M
34973060,M
106296949,M
23857457,M
15919215,M
23121322,M
47673677,M
39721875,M
62421236,M
19384389,M
56073071,M
87904155,M
12610127,M
68791813,M
24943159,M
29624675,M
30962350,M
85280959,M
84191534,M
39463111,M
30560081,M
105748909,M
31751796,M
28751518,M
47343095,M
99504506,M
31118634,M
53168109,M
48908900,M
33156122,M
75122377,M
33695244,M
29697999,M
25471551,M
23702251,M
25342683,M
42789089,M
32905887,M
108687980,M
109455667,M
42955471,M
66528636,M
40104145,M
119207618,M
84125901,M
118757090,M
16489222,M
80347416,M
17537877,M
39392348,M
32764267,M
132440378,M
22956256,M
122350348,M
105566340,M
29735087,M
33116895,M
18940892,M
86559244,M
35671420,M
26981318,M
13769476,M
12658269,M
20279680,M
23830085,M
15614296,M
40368341,M
27665787,M
49273651,M
121571159,M
34743180,M
43698509,M
14622825,M
80506473,M
15752859,M
90316971,M
24786839,M
24237976,M
120693019,M
16180395,M
27705600,M
65228877,M
12184317,M
64541141,M
125058408,M
80244070,M
103000664,M
16898211,M
47188755,M
69486670,M
21592500,M
30770712,M
17376895,M
19451960,M
68547042,M
85833059,M
38766563,M
20130700,M
129948554,M
18386530,M
12483935,M
14910240,M
51876184,M
115036772,M
63116427,M
40565948,M
12041786,M
34877452,M
136764828,M
53538570,M
38706419,M
116429991,M
46041826,M
124904608,M
58931151,M
20090450,M
13462471,M
66873694,M
27046867,M
105350436,M
57905598,M
20391049,M
42311636,M
121603265,M
21617386,M
129502416,M
59852552,M
90141148,M
27231563,M
38390410,M
59257352,M
71292992,M
121907170,M
82442150,M
124742854,M
42967395,M
48741990,M
18784534,M
128958326,M
124317185,M
28066589,M
105237178,M
94331588,M
32054926,M
98808079,M
41213113,M
38953855,M
55285017,M
55635455,M
37916012,M
53930681,M
36383064,M
32703302,M
105169915,M
28749897,M
69350802,M
128988248,M
86833482,M
111411060,M
105945391,M
70647986,M
86434709,M
40094880,M
106408657,M
82360664,M
16572001,M
54867917,M
53543080,M
53922080,M
11784003,M
36090920,M
47650298,M
51977979,M
71729594,M
52783769,M
50090969,M
33860217,M
50537080,M
90344919,M
29653320,M
28259950,M
15550445,M
111193248,M
23306299,M
119943670,M
54926370,M
31502781,M
130995256,M
17103538,M
72669787,M
118828423,M
46957084,M
80460330,M
95565314,M
40623716,M
45200846,M
95535229,M
101107296,M
91576371,M
56599599,M
37148978,M
106726003,M
35006220,M
65904346,M
49882228,M
113897863,M
104841220,M
62331910,M
54406540,M
42664371,M
52656037,M
130039986,M
131749148,M
111972639,M
43258549,M
68862063,M
102040949,M
51307331,M
105686850,M
25599794,M
115392077,M
48984024,M
15470047,M
43905989,M
98585582,M
126662826,M
28526559,M
92330600,M
52286950,M
107958586,M
128286124,M
129402150,M
21248921,M
36529948,M
36356445,M
17481990,M
70271956,M
89133594,M
34840262,M
130213691,M
22260076,M
82448288,M
84416280,M
15322621,M
17987139,M
46083683,M
54146730,M
24170401,M
81240943,M
29522889,M
121880160,M
122110469,M
91626674,M
128326279,M
128827539,M
116937144,M
33769023,M
25735882,M
120889731,M
41552671,M
51187980,M
34136721,M
96098534,M
111539151,M
24324898,M
39592022,M
14557944,M
62584585,M
104224894,M
79759819,M
100878688,M
72052889,M
26508866,M
91186681,M
35700032,M
60902901,M
16054327,M
26431044,M
52522845,M
64256912,M
36327021,M
13124623,M
105119119,M
27834461,M
30839374,M
23261379,M
125792008,M
20616563,M
81622391,M
37154717,M
55151647,M
93654043,M
113760018,M
19071575,M
29927331,M
50534388,M
48472577,M
31637117,M
79513228,M
43621535,M
60882352,M
23157478,M
30231837,M
16111950,M
45667033,M
90216411,M
33053351,M
83748470,M
104878270,M
63979621,M
77044995,M
59322685,M
113156943,M
32313345,M
41612478,M
130674219,M
53281598,M
16168188,M
50754439,M
19538465,M
52276509,M
21633250,M
131037812,M
16503844,M
24072642,M
40360611,M
122123128,M
12972401,M
107101618,M
13903848,M
32929476,M
44140070,M
104843538,M
13338131,M
65651212,M
45053639,M
22361900,M
78848631,M
16370075,M
87091278,M
30174251,M
29199866,M
21312232,M
43649696,M
99326210,M
45595414,M
50993131,M
59960107,M
41403253,M
131587796,M
54069458,M
42615339,M
123114857,M
91659326,M
69121769,M
42501696,M
23399060,M
35716968,M
12046599,M
48959983,M
19926955,M
40894596,M
52176710,M
80914804,M
24594446,M
13999006,M
40071160,M
62574700,M
91077317,M
22861596,M
23965016,M
27808053,M
104830185,M
54650161,M
12142328,M
131159564,M
16995065,M
25448947,M
33911589,M
129317311,M
54656997,M
97870751,M
59968791,M
117741921,M
104140932,M
74108360,M
12505871,M
107215404,M
19373999,M
43613455,M
14885651,M
56243562,M
13495651,M
97819262,M
119678463,M
47426059,M
32405230,M
15071502,M
84229335,M
89244577,M
85235239,M
50389436,M
33938600,M
52985622,M
18686692,M
19233299,M
78310251,M
44971171,M
105687906,M
69420960,M
78450602,M
15451566,M
17057968,M
40956864,M
44122110,M
14461983,M
64181864,M
13564784,M
34478885,M
69634939,M
74101064,M
44577657,M
13402310,M
79554490,M
68621040,M
33069219,M
49037002,M
55986150,M
13099939,M
91039802,M
22140897,M
113760439,M
51896803,M
91439449,M
119686929,M
85860059,M
14719551,M
27338126,M
46004279,M
35524398,M
119016108,M
39837678,M
52996959,M
20356011,M
70369625,M
96071596,M
93639679,M
90419515,M
50621748,M
14138229,M
12041802,M
25441350,M
13920092,M
31231573,M
59972620,M
70436779,M
46697950,M
34403898,M
25071880,M
48482679,M
67686857,M
20023540,M
15939014,M
23427214,M
41049969,M
100873027,M
31793644,M
58699320,M
16783492,M
45848540,M
12866919,M
12961260,M
22186766,M
55122303,M
12977220,M
18540727,M
129996051,M
31063049,M
66104439,M
31091637,M
41031350,M
13630952,M
26515240,M
71280896,M
67870546,M
17477696,M
49565152,M
44449876,M
40331656,M
99001790,M
31566955,M
45852257,M
23238927,M
56193812,M
56547611,M
129553322,M
119259600,M
104314432,M
132518995,M
87119149,M
57961593,M
84936759,M
52935390,M
15224909,M
78891433,M
86743640,M
12585788,M
44838863,M
52129836,M
19203576,M
84330034,M
110632879,M
31468694,M
21323025,M
50824579,M
113947220,M
47896032,M
21157926,M
26918130,M
57113073,M
75098389,M
12648959,M
52191599,M
42551720,M
77327139,M
77616860,M
71517087,M
101914255,M
52997627,M
13883049,M
59448369,M
84967259,M
45183699,M
67340257,M
29194797,M
71920540,M
42990695,M
15607091,M
114086333,M
67241575,M
46929894,M
19211030,M
25333723,M
21461520,M
32776285,M
118251326,M
17050507,M
14108510,M
89757950,M
69475958,M
48401261,M
59121475,M
19432429,M
40226271,M
18722789,M
74289616,M
74345949,M
121882363,M
21920488,M
36051023,M
54263918,M
87705361,M
47698644,M
98540040,M
56573679,M
29160377,M
66332848,M
42211085,M
35202196,M
54360752,M
25729285,M
15630403,M
26245892,M
25400183,M
74017400,M
11938759,M
58600478,M
17645492,M
94833009,M
15600830,M
23119309,M
56821596,M
97102599,M
86900700,M
35515801,M
44540559,M
38115895,M
17741070,M
106837592,M
44048629,M
42287293,M
54171505,M
13791418,M
34951618,M
29725626,M
68407091,M
62612729,M
17460263,M
14815969,M
76005609,M
33768906,M
127098480,M
12286055,M
22322282,M
94437708,M
56222956,M
32661181,M
58672729,M
26034908,M
40134940,M
106506180,M
96488030,M
96583195,M
61611848,M
97380779,M
85337239,M
34718233,M
120719360,M
16668206,M
61374034,M
64560709,M
27911560,M
65881244,M
129189132,M
34582821,M
51477651,M
44744865,M
17335470,M
33937716,M
40813140,M
17170399,M
107943183,M
41827214,M
53032696,M
118671920,M
17458709,M
15631854,M
55428695,M
54059396,M
126184179,M
57895752,M
22303399,M
71725323,M
15123907,M
12180303,M
18527466,M
44772669,M
59247999,M
133425101,M
113353100,M
117972245,M
121825829,M
49096510,M
21924771,M
107404845,M
124173216,M
43321651,M
67948299,M
31503400,M
31400082,M
30195476,M
56496177,M
136238757,M
67357451,M
14574714,M
74593176,M
58959873,M
69805497,M
94441854,M
122002060,M
44248169,M
47659430,M
130325684,M
57939903,M
128926011,M
28344909,M
107277503,M
91183192,M
62242426,M
82489249,M
11934758,M
