;1_80401_sms_viber_cg;0_80401_sms_viber_cg
total_group_size;16000;64997
supplier_fin;0.0;90144.0
supplier_fin / total_group_size;0.0;1.3868947797590658
total_communications;0;60096
sms_costs;0.0;64287.299999999865
viber_costs;0.0;24286.679999999957
email_costs;0.0;0.0
communication_costs;0.0;88573.97999999975
communication_costs / total_group_size;0.0;1.3627395110543525
communication_costs + points_delta_with_redemption;-8605.170000000004;29222.66699999974
accrued_points;228174.30000000008;917746.9000000006
spent_points;238065.30000000002;985966.7999999999
accrued_exp_points;13731.200000000003;61291.49999999995
spent_exp_points;9671.8;38777.999999999985
points_delta_with_redemption;-8605.170000000004;-59351.31300000001
exp_points_delta_with_redemption;3531.677999999998;19586.745
num_visits;45253;181286
num_unique_visits;13813;55912
rto_novat;24909634.83999999;100091630.14
quantity;408772.75299999997;1644172.3340000005
front_margin_novat;6454557.63;25824998.68000001
front_margin_novat_wo_comm;6454557.63;25736424.699999984
commercial_front_margin_novat;6463162.799999997;25884349.99300001
ebitda;6463162.799999997;25795776.012999974
supplier_fin_ebitda;6463162.799999997;25885920.01299997
categories_items_num_visits;7613;30925
categories_items_num_unique_visits;4997;20391
categories_items_rto_novat;895593.9900000003;3585945.419999998
categories_items_quantity;43819.0;177917.0
categories_items_front_margin_novat;15211.019999999979;53753.47999999992
categories_items_front_margin_novat_wo_comm;15211.019999999979;-34820.499999999935
categories_items_commercial_front_margin_novat;23816.189999999995;113104.79299999993
categories_items_ebitda;23816.189999999995;24530.81299999987
categories_items_supplier_fin_ebitda;23816.189999999995;114674.8129999999
experiment_items_num_visits;9;107
experiment_items_num_unique_visits;9;97
experiment_items_rto_novat;303.40000000000003;3767.039999999999
experiment_items_quantity;31.0;337.0
experiment_items_front_margin_novat;32.72999999999999;824.4699999999998
experiment_items_front_margin_novat_wo_comm;32.72999999999999;-87749.50999999973
experiment_items_commercial_front_margin_novat;8637.900000000003;60175.78300000003
experiment_items_ebitda;8637.900000000003;-28398.197000000073
experiment_items_supplier_fin_ebitda;8637.900000000003;61745.80299999989
mean_effect_categories_items_num_unique_visits;;0.0013587403989577052
effect_left_bound_categories_items_num_unique_visits;;-0.00520019516378315
effect_right_bound_categories_items_num_unique_visits;;0.008350262346678492
