customer_rk,qty_checks
17518391,1
44381074,1
15038794,2
58371403,1
121502793,1
63077714,1
51707873,2
106741084,2
69543402,1
11794224,1
14879602,1
132670832,1
54356851,1
23075562,1
125091084,1
14132782,1
11698483,1
61369964,1
58470671,1
112609492,1
30223213,2
17322183,2
20994844,1
16111681,2
43032923,1
56267412,1
29800963,1
77333021,1
21205623,1
122683774,1
112310683,1
17548244,1
55275684,1
36650874,1
22142311,1
61260681,1
11842502,1
96844783,1
53957493,1
107384372,1
86267811,1
30850522,1
14243323,1
17120041,1
16808994,1
14402552,1
22279403,1
14330101,1
21896672,1
24472614,1
94694514,1
89012941,1
16455412,1
36690151,1
11418611,1
15817283,1
14441154,1
25270353,1
55157443,1
26460971,1
18888403,3
31610574,1
12911632,1
57847801,1
89215202,1
132489942,1
97071794,1
58842781,2
77177514,1
14024412,1
66049582,1
23768843,1
30921743,1
95355304,1
58720283,1
29003522,1
39100042,1
28269202,1
105581581,1
30120564,1
84972044,1
17093784,1
44548503,1
38902094,1
42161562,1
22452233,1
14761172,1
67071191,1
49375113,1
43645394,1
70491922,1
103926082,1
57098801,1
44324063,1
53778982,1
22939661,1
100743991,1
23089981,1
21299382,1
43003604,1
16518413,1
25127044,1
46421991,1
12559801,1
16436903,1
24782322,1
33937691,1
12178102,1
23251531,1
20495162,1
37981893,1
66700444,1
16042574,1
40591253,1
67061304,1
27046824,1
89687584,1
39724682,1
17522232,1
14049302,1
66428073,1
12216704,1
14132661,1
14620061,1
105517241,1
27714294,1
37353301,1
12344492,1
16347273,1
12086562,1
15566351,1
39787144,1
69111541,1
91316052,1
80795393,1
16272572,1
97860093,1
22600042,1
20510852,1
116450932,1
31239433,1
35640341,1
48602332,1
15953082,1
43979963,1
120662121,1
87805651,1
21940601,1
21609943,1
67363754,1
118737301,1
34615001,1
57044853,1
46516831,1
54452573,1
12158501,1
21441053,1
21630524,1
119634822,1
12095493,1
29960103,1
24429812,1
18062823,1
35940784,1
130644683,1
79557934,1
51448831,1
87385722,1
48708972,1
76578534,1
19768911,1
94935342,1
31870323,1
43593693,1
89133594,1
55829454,1
26472232,1
39313623,1
53786813,1
121945742,1
17780213,1
102398073,1
20646083,1
19460734,1
20478171,1
49250812,1
29845143,1
15465953,1
29268544,1
15334074,1
97081243,1
15138531,1
15966513,1
13958464,1
57889951,1
19498003,1
93567353,1
14747201,1
14121851,1
15473714,1
27757442,1
14214822,1
28165593,1
16574163,1
15436122,1
13451942,1
28850753,1
14735423,1
100542092,1
112386021,2
101303992,1
57436404,1
69317362,1
87651131,2
65517983,2
13158781,1
