;1_79931_sms_viber_cg;0_79931_sms_viber_cg
target_metric_mean_categories_items_supplier_fin_ebitda;;5.652237476728581
metric_pvalue_categories_items_supplier_fin_ebitda;;0.2592
metric_significance_categories_items_supplier_fin_ebitda;;0.0
mean_effect_categories_items_supplier_fin_ebitda * total_group_size / categories_items_supplier_fin_ebitda;;0.07365739515228559
mean_effect_experiment_items_num_unique_visits;;0.005282340609694168
effect_left_bound_experiment_items_num_unique_visits;;0.0032818227020380048
effect_right_bound_experiment_items_num_unique_visits;;0.007428051771376544
mean_effect_experiment_items_num_unique_visits * total_group_size;;610.0
control_metric_means_experiment_items_num_unique_visits;;0.03288790417503289
target_metric_mean_experiment_items_num_unique_visits;;0.03817811837035113
metric_pvalue_experiment_items_num_unique_visits;;0.0
metric_significance_experiment_items_num_unique_visits;;1.0
mean_effect_experiment_items_num_unique_visits * total_group_size / experiment_items_num_unique_visits;;0.1374802794681091
mean_effect_experiment_items_num_visits;;0.005597570523185782
effect_left_bound_experiment_items_num_visits;;0.00313687333543969
effect_right_bound_experiment_items_num_visits;;0.00817492326530404
mean_effect_experiment_items_num_visits * total_group_size;;646.0
control_metric_means_experiment_items_num_visits;;0.038115349996538116
target_metric_mean_experiment_items_num_visits;;0.043702645365198946
metric_pvalue_experiment_items_num_visits;;0.0002
metric_significance_experiment_items_num_visits;;1.0
mean_effect_experiment_items_num_visits * total_group_size / experiment_items_num_visits;;0.12706530291109364
mean_effect_experiment_items_rto_novat;;0.6037514962894523
effect_left_bound_experiment_items_rto_novat;;0.2859495416197629
effect_right_bound_experiment_items_rto_novat;;0.915774180241919
mean_effect_experiment_items_rto_novat * total_group_size;;69724.0
control_metric_means_experiment_items_rto_novat;;4.297315308453922
target_metric_mean_experiment_items_rto_novat;;4.902075334459021
metric_pvalue_experiment_items_rto_novat;;0.0007
metric_significance_experiment_items_rto_novat;;1.0
mean_effect_experiment_items_rto_novat * total_group_size / experiment_items_rto_novat;;0.12223563585330174
mean_effect_experiment_items_front_margin_novat;;0.12647151075858037
effect_left_bound_experiment_items_front_margin_novat;;0.05613541271883736
effect_right_bound_experiment_items_front_margin_novat;;0.19597634389344384
mean_effect_experiment_items_front_margin_novat * total_group_size;;14606.0
control_metric_means_experiment_items_front_margin_novat;;0.9313546354635468
target_metric_mean_experiment_items_front_margin_novat;;1.0580829544962553
metric_pvalue_experiment_items_front_margin_novat;;0.0017499999999999998
metric_significance_experiment_items_front_margin_novat;;1.0
mean_effect_experiment_items_front_margin_novat * total_group_size / experiment_items_front_margin_novat;;0.11864726199875873
mean_effect_experiment_items_front_margin_novat_wo_comm;;-1.2351667549902179
effect_left_bound_experiment_items_front_margin_novat_wo_comm;;-1.3055709907101791
effect_right_bound_experiment_items_front_margin_novat_wo_comm;;-1.1653806917826972
mean_effect_experiment_items_front_margin_novat_wo_comm * total_group_size;;-142643.0
control_metric_means_experiment_items_front_margin_novat_wo_comm;;0.9313546354635468
target_metric_mean_experiment_items_front_margin_novat_wo_comm;;-0.3035598562583879
metric_pvalue_experiment_items_front_margin_novat_wo_comm;;0.0
metric_significance_experiment_items_front_margin_novat_wo_comm;;1.0
mean_effect_experiment_items_front_margin_novat_wo_comm * total_group_size / experiment_items_front_margin_novat_wo_comm;;-4.128749198233725
mean_effect_experiment_items_commercial_front_margin_novat;;0.3657718167739969
effect_left_bound_experiment_items_commercial_front_margin_novat;;-0.28959227034553137
effect_right_bound_experiment_items_commercial_front_margin_novat;;1.0528356169426625
mean_effect_experiment_items_commercial_front_margin_novat * total_group_size;;42241.0
control_metric_means_experiment_items_commercial_front_margin_novat;;0.5352525444852182
target_metric_mean_experiment_items_commercial_front_margin_novat;;0.9121186734207909
metric_pvalue_experiment_items_commercial_front_margin_novat;;0.33035000000000003
metric_significance_experiment_items_commercial_front_margin_novat;;0.0
mean_effect_experiment_items_commercial_front_margin_novat * total_group_size / experiment_items_commercial_front_margin_novat;;0.32019524655788195
mean_effect_experiment_items_ebitda;;-0.9958664489748011
effect_left_bound_experiment_items_ebitda;;-1.6512149745928355
effect_right_bound_experiment_items_ebitda;;-0.308798517360493
mean_effect_experiment_items_ebitda * total_group_size;;-115008.0
control_metric_means_experiment_items_ebitda;;0.5352525444852182
target_metric_mean_experiment_items_ebitda;;-0.4495241373338521
metric_pvalue_experiment_items_ebitda;;0.01285
metric_significance_experiment_items_ebitda;;1.0
mean_effect_experiment_items_ebitda * total_group_size / experiment_items_ebitda;;-4.469717188018969
mean_effect_experiment_items_supplier_fin_ebitda;;0.3843348628838818
effect_left_bound_experiment_items_supplier_fin_ebitda;;-0.27280933749710884
effect_right_bound_experiment_items_supplier_fin_ebitda;;1.0720184718588859
mean_effect_experiment_items_supplier_fin_ebitda * total_group_size;;44385.0
control_metric_means_experiment_items_supplier_fin_ebitda;;0.5352525444852182
target_metric_mean_experiment_items_supplier_fin_ebitda;;0.9307200502229735
metric_pvalue_experiment_items_supplier_fin_ebitda;;0.31320000000000003
metric_significance_experiment_items_supplier_fin_ebitda;;0.0
mean_effect_experiment_items_supplier_fin_ebitda * total_group_size / experiment_items_supplier_fin_ebitda;;0.3310645435781304
mean_effect_num_unique_visits;;0.0024622980871927933
effect_left_bound_num_unique_visits;;-0.0012068091069800222
effect_right_bound_num_unique_visits;;0.006094118698790202
mean_effect_num_unique_visits * total_group_size;;284.0
control_metric_means_num_unique_visits;;0.8628747490133629
target_metric_mean_num_unique_visits;;0.8653937740832143
metric_pvalue_num_unique_visits;;0.2722
metric_significance_num_unique_visits;;0.0
mean_effect_num_unique_visits * total_group_size / num_unique_visits;;0.002833313380422204
mean_effect_num_visits;;0.008818399899378276
effect_left_bound_num_visits;;-0.019072625132966082
effect_right_bound_num_visits;;0.035213668174095075
mean_effect_num_visits * total_group_size;;1018.0
control_metric_means_num_visits;;2.772173371183272
target_metric_mean_num_visits;;2.781417500108239
metric_pvalue_num_visits;;0.4396
metric_significance_num_visits;;0.0
mean_effect_num_visits * total_group_size / num_visits;;0.0031159227324622217
