;1_79931_sms_viber_cg;0_79931_sms_viber_cg
Размер выборки, чел.;28947;115781
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;7967.981999999983;148834.88699999996
Затраты на коммуникацию, руб./гость;0.0;1.3616493207002875
Затраты на коммуникацию, руб.;0.0;157653.12
Софинансирование, руб./гость;0.0;1.3801746400532038
Софинансирование, руб.;0.0;159798.0
Покупка предложения(чек), товаров (шт);773324.5510000001;3107168.1550000003
Покупка предложения(категория), товаров (шт);18397.0;77511.0
Покупка предложения(набор plu), товаров (шт);6941.0;31494.0
Гостей, купившие что-нибудь;24986;100236
Гостей, купившие в категории;5969;24242
Гостей, купившие в наборе plu;960;4437
РТО(чек), руб.;51711043.090000026;208007682.81
РТО(категория), руб.;634657.67;2630172.890000001
РТО(набор plu), руб.;125610.60000000005;570406.49
Баллов начислено за период, руб.;487657.4999999999;1967679.0
Баллов списано за период, руб.;478498.90000000014;1977814.900000001
ЭБ начислено за период, руб.;22043.1;137579.5
ЭБ списано за период, руб.;16571.3;73230.39999999998
Сумма delta баллов с учетом redemption, руб.;7967.981999999983;-8818.233000000027
Сумма delta ЭБ с учетом redemption, руб.;4760.4659999999985;55983.71699999998
CR коммуникация;;0.9201164267021359
СR пришли в магазин;0.8631637129927108;0.8657379017282628
Дельта СR пришедших к КГ;;0.002574188735552041
Значимость пришедших уникальных гостей;;0.0
CR купивших в категории;0.20620444260199675;0.2093780499391092
Дельта CR (купивших в категории) к КГ;;0.003173607337112444
Значимость купивших из категории;;0.0
CR купивших из набора plu;0.033164058451653024;0.03832234995379207
Дельта CR (купивших из списка plu) конверсии к КГ;;0.005158291502139048
Значимость купивших из набора plu;;1.0
Значимость РТО(чек);;0.0
Эффект РТО(чек) на гостя, руб.;;1.6847526527538539
Эффект РТО(чек) на группу, руб.;;194564.0
Эффект РТО(чек) на группу / РТО(чек) группы;;0.0009353692968048693
Значимость РТО(категория);;1.0
Эффект РТО(категория) на гостя, руб.;;0.7331859980376958
Эффект РТО(категория) на группу, руб.;;84672.0
Эффект РТО(категория) на группу / РТО(категория) группы;;0.03219256054304474
Значимость РТО(набор plu);;1.0
Эффект РТО(набор plu) на гостя, руб.;;0.6037514962894523
Эффект РТО(набор plu) на группу, руб.;;69724.0
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;;0.12223563585330174
Значимость ФМ(чек);;0.0
Эффект ФМ(чек) на гостя, руб.;;2.134141948343349
Эффект ФМ(чек) на группу, руб.;;246461.0
Эффект ФМ(чек) на группу / ФМ(чек) группы;;0.004296393350893834
Значимость ФМ(категория);;1.0
Эффект ФМ(категория) на гостя, руб.;;0.17993842864369863
Эффект ФМ(категория) на группу, руб.;;20780.0
Эффект ФМ(категория) на группу / ФМ(категория) группы;;0.030764305564940142
Значимость ФМ(набор plu);;1.0
Эффект ФМ(набор plu) на гостя, руб.;;0.12647151075858037
Эффект ФМ(набор plu) на группу, руб.;;14606.0
Эффект ФМ(набор plu) на группу / ФМ(набор plu) группы;;0.11864726199875873
Значимость ФМ - коммуникация(чек);;0.0
Эффект ФМ - коммуникация(чек) на гостя, руб.;;0.7725036825945425
Эффект ФМ - коммуникация(чек) на группу, руб.;;89213.0
Эффект ФМ - коммуникация(чек) на группу / ФМ - коммуникация(чек) группы;;0.0015594777119323244
Значимость ФМ - коммуникация(категория);;1.0
Эффект ФМ - коммуникация(категория) на гостя, руб.;;-1.181699837105099
Эффект ФМ - коммуникация(категория) на группу, руб.;;-136469.0
Эффект ФМ - коммуникация(категория) на группу / ФМ - коммуникация(категория) группы;;-0.2635528818763846
Значимость ФМ - коммуникация(набор plu);;1.0
Эффект ФМ - коммуникация(набор plu) на гостя, руб.;;-1.2351667549902179
Эффект ФМ - коммуникация(набор plu) на группу, руб.;;-142643.0
Эффект ФМ - коммуникация(набор plu) на группу / ФМ - коммуникация(набор plu) группы;;-4.128749198233725
Значимость КМ(чек);;0.0
Эффект КМ(чек) на гостя, руб.;;2.3734422543587654
Эффект КМ(чек) на группу, руб.;;274097.0
Эффект КМ(чек) на группу / КМ(чек) группы;;0.004777419259593847
Значимость КМ(категория);;0.0
Эффект КМ(категория) на гостя, руб.;;0.4192387346591151
Эффект КМ(категория) на группу, руб.;;48416.0
Эффект КМ(категория) на группу / КМ(категория) группы;;0.07075503893673205
Значимость КМ(набор plu);;0.0
Эффект КМ(набор plu) на гостя, руб.;;0.3657718167739969
Эффект КМ(набор plu) на группу, руб.;;42241.0
