customer_rk,group,usecase
59046148,2,churn
129306239,2,freq
38972934,2,freq
94737949,2,freq
75138671,2,freq
27812983,2,freq
37130630,2,churn
125651430,2,freq
30183550,2,freq
41139380,2,freq
62865982,2,freq
108540101,2,freq
133020688,2,churn
27950979,2,churn
100104616,2,freq
112448324,2,freq
78101115,2,freq
69741974,2,freq
119947791,2,freq
120002313,2,freq
127021370,2,freq
50930082,2,freq
37074923,2,freq
51281426,2,freq
51068569,2,freq
55871811,2,freq
49507941,2,freq
69895560,2,churn
90142387,2,freq
119446452,2,freq
19372103,2,freq
48282221,2,freq
55273923,2,freq
70863180,2,freq
80084179,2,freq
127431139,2,freq
40787023,2,freq
34822198,2,churn
42004715,2,churn
124104718,2,freq
123343877,2,churn
52397936,2,freq
48915185,2,freq
120045185,2,freq
102495459,2,freq
126299284,2,freq
61728608,2,churn
133135962,2,freq
35864888,2,freq
47986975,2,freq
140107409,2,freq
125311885,2,freq
85835451,2,freq
114858853,2,churn
122864627,2,churn
133960563,2,churn
23876080,2,freq
51171904,2,freq
20068759,2,freq
30124156,2,freq
62860128,2,churn
98700277,2,freq
84333025,2,freq
49060419,2,churn
45320353,2,freq
105508235,2,freq
84248020,2,freq
68455249,2,freq
117468706,2,freq
26319297,2,churn
100120515,2,freq
85819460,2,churn
66958297,2,freq
115011274,2,freq
133778128,2,freq
36390714,2,freq
48532019,2,freq
121402143,2,freq
37084203,2,freq
71380152,2,freq
118537917,2,churn
120446504,2,churn
15491258,2,freq
36579471,2,freq
49193325,2,freq
105705288,2,churn
128729051,2,freq
51386030,2,freq
112085644,2,freq
117416573,2,freq
52776923,2,churn
106875751,2,freq
78833575,2,freq
50693428,2,freq
119327654,2,freq
19708265,2,freq
105875841,2,freq
144075407,2,churn
24561369,2,freq
28162046,2,churn
51234378,2,churn
50878551,2,freq
28538179,2,freq
38640395,2,freq
70734793,2,churn
118451546,2,freq
119865763,2,churn
22829854,2,freq
73340431,2,freq
95219296,2,churn
123184325,2,freq
27845492,2,churn
58272167,2,freq
106703633,2,freq
97380439,2,freq
82711525,2,freq
115481980,2,freq
128992172,2,freq
31741091,2,freq
36949467,2,churn
61084746,2,freq
98313897,2,freq
31692441,2,freq
48359635,2,freq
51182554,2,freq
108049015,2,freq
133134984,2,churn
19284182,2,freq
34742353,2,freq
37205319,2,churn
43602220,2,freq
83024627,2,freq
58892721,2,freq
82052437,2,freq
143119329,2,freq
25257940,2,freq
60235202,2,freq
98474898,2,freq
54442173,2,churn
58033084,2,freq
48981175,2,churn
77480478,2,churn
108942446,2,freq
120942852,2,churn
16835152,2,freq
38345575,2,freq
46509508,2,churn
101710095,2,churn
89826962,2,churn
123955726,2,churn
125500709,2,freq
31683566,2,freq
38396896,2,freq
96851981,2,freq
113903406,2,freq
34404869,2,freq
37409534,2,freq
53520816,2,churn
40399975,2,freq
71675217,2,freq
76553272,2,freq
126301718,2,freq
26729267,2,freq
20279985,2,freq
27904756,2,freq
64901167,2,churn
14740406,2,freq
16870091,2,freq
39080386,2,freq
53028372,2,churn
49160523,2,freq
68333235,2,freq
103110393,2,freq
124186555,2,churn
131756494,2,churn
23652019,2,freq
52332726,2,churn
112290131,2,freq
130091136,2,freq
97501270,2,freq
73309124,2,freq
107342777,2,freq
131191290,2,freq
57992401,2,freq
92973884,2,freq
103618867,2,freq
112451648,2,freq
130594468,2,churn
49101635,2,freq
44316824,2,freq
20327780,2,freq
15067146,2,freq
36804688,2,churn
44258580,2,churn
96952797,2,churn
78028244,2,churn
36249121,2,freq
38191548,2,churn
49640689,2,freq
119800730,2,churn
79443860,2,freq
104813595,2,freq
130311821,2,freq
39672813,2,freq
37972950,2,freq
79994951,2,freq
106013675,2,freq
125917030,2,churn
12987446,2,churn
35163216,2,freq
68056592,2,freq
69693635,2,freq
127148750,2,freq
18988038,2,freq
99431639,2,freq
105907606,2,churn
112445376,2,freq
143808957,2,freq
63254847,2,freq
43006993,2,freq
83748020,2,freq
59025533,2,freq
73807084,2,freq
38061967,2,churn
57677250,2,churn
139890682,2,churn
130894131,2,freq
127426243,2,freq
54253293,2,freq
47028032,2,freq
48207867,2,freq
61859305,2,churn
123357523,2,freq
30188208,2,freq
85189627,2,freq
71819715,2,freq
21339065,2,freq
27976134,2,freq
54764760,2,freq
71752610,2,freq
48513853,2,freq
76113825,2,freq
34837583,2,freq
85279399,2,freq
113686776,2,freq
120255403,2,freq
31798753,2,freq
31587127,2,churn
57826271,2,churn
122730937,2,freq
35971761,2,churn
47370796,2,freq
38148101,2,freq
47239093,2,freq
132869712,2,freq
116292213,2,freq
33415229,2,freq
56321990,2,freq
116267097,2,churn
34479816,2,freq
44648878,2,freq
75969504,2,freq
112558996,2,churn
77283172,2,freq
99981290,2,freq
111778030,2,freq
42731854,2,freq
62762963,2,freq
88545128,2,freq
65063156,2,churn
120538588,2,freq
79038760,2,churn
41979500,2,freq
48753922,2,freq
146674570,2,freq
125930085,2,freq
47868343,2,freq
46417827,2,freq
116398438,2,freq
88941411,2,churn
117316196,2,churn
49972777,2,freq
83514147,2,freq
24273912,2,freq
52671961,2,freq
23118718,2,freq
75736661,2,freq
94431879,2,freq
30733200,2,freq
33556111,2,churn
55895771,2,churn
16181807,2,freq
43775824,2,churn
34787079,2,freq
127299246,2,churn
127532654,2,freq
89268414,2,freq
105778218,2,freq
62716349,2,freq
103377170,2,freq
114613937,2,freq
43689879,2,freq
98833456,2,freq
80110140,2,churn
40070736,2,churn
60134426,2,freq
106103028,2,freq
94792715,2,freq
126962659,2,churn
31538443,2,freq
30559568,2,churn
32127882,2,freq
40609896,2,freq
115840749,2,freq
27445905,2,freq
27403654,2,freq
54479554,2,freq
72955144,2,churn
138026530,2,churn
60774233,2,freq
36983007,2,freq
123987503,2,freq
39100979,2,freq
13067457,2,freq
45368475,2,churn
54276679,2,churn
65568540,2,freq
94351118,2,freq
13284977,2,freq
37562768,2,freq
113638218,2,freq
110345517,2,churn
58740395,2,freq
40078925,2,freq
51324436,2,freq
31421928,2,freq
36667286,2,freq
105702137,2,freq
117543877,2,churn
59889732,2,churn
48810588,2,freq
77685816,2,churn
123667888,2,freq
15993842,2,freq
35519887,2,freq
41766486,2,churn
99892789,2,freq
121649944,2,freq
46004582,2,churn
42108862,2,freq
118867552,2,freq
126351722,2,freq
50641679,2,freq
53423205,2,freq
69679709,2,freq
130203691,2,freq
117053515,2,churn
27570967,2,freq
40132001,2,freq
53588475,2,churn
83713571,2,churn
44040486,2,freq
43807137,2,freq
44237059,2,churn
56497073,2,freq
94302319,2,churn
65790406,2,freq
88259475,2,freq
38095027,2,freq
121529371,2,freq
129162522,2,freq
96480060,2,freq
109964869,2,freq
126445916,2,churn
105313979,2,freq
47279725,2,freq
86342351,2,freq
115154557,2,freq
45890074,2,freq
61315847,2,churn
51693677,2,churn
112987235,2,freq
118975731,2,churn
119551585,2,freq
125648418,2,freq
126665233,2,freq
32368897,2,freq
94225082,2,churn
123282538,2,freq
128928870,2,freq
22226942,2,freq
49690166,2,freq
65116096,2,freq
114621685,2,freq
126077423,2,freq
118914149,2,freq
33199630,2,freq
64593185,2,freq
114688068,2,freq
142226145,2,churn
31819322,2,churn
48662058,2,freq
123668990,2,freq
13969630,2,freq
34925722,2,freq
43545465,2,freq
118438825,2,freq
112375479,2,freq
122155747,2,churn
65528672,2,freq
109055602,2,churn
15170808,2,freq
24192925,2,freq
54031056,2,churn
124804694,2,freq
133702497,2,churn
44803809,2,freq
78149945,2,freq
42599869,2,freq
123005751,2,freq
87860057,2,freq
15542795,2,churn
39327133,2,freq
120088212,2,freq
82726667,2,freq
129983135,2,freq
101637008,2,freq
34172329,2,freq
52099047,2,freq
84929239,2,freq
114099960,2,churn
119048610,2,churn
33087949,2,freq
69725029,2,churn
124427765,2,freq
88981535,2,churn
42657343,2,freq
47183909,2,freq
110773153,2,freq
131180897,2,freq
133369940,2,freq
48278523,2,freq
53387077,2,freq
39372089,2,freq
48706728,2,freq
43015733,2,freq
132667943,2,freq
120252466,2,churn
58791691,2,freq
119816896,2,churn
31079658,2,churn
44963810,2,churn
70977380,2,freq
86950605,2,freq
104957849,2,freq
94830693,2,freq
132721535,2,churn
44094587,2,freq
73263381,2,freq
125837832,2,freq
14519189,2,freq
15681389,2,freq
24099801,2,freq
85424308,2,freq
94941829,2,churn
59723848,2,freq
50835169,2,freq
61234217,2,freq
49343045,2,churn
114612744,2,freq
118650250,2,freq
135029328,2,freq
41317016,2,freq
61265174,2,freq
89975258,2,freq
110938297,2,churn
48802679,2,freq
66913319,2,freq
49901557,2,freq
102588693,2,freq
127597790,2,freq
17940440,2,freq
42705716,2,freq
63613974,2,freq
107355951,2,freq
46564071,2,freq
31053671,2,freq
49445140,2,churn
72516118,2,freq
123601105,2,freq
42165423,2,freq
123966654,2,freq
131478850,2,freq
36844902,2,churn
53471904,2,freq
104157268,2,churn
82942944,2,freq
22202202,2,freq
45936153,2,freq
44329309,2,churn
60661475,2,freq
73590833,2,freq
126511453,2,freq
33379661,2,freq
39797994,2,freq
93640314,2,freq
107116939,2,freq
111642311,2,churn
67555995,2,freq
82735165,2,freq
23332910,2,freq
50661016,2,freq
41131961,2,freq
123820511,2,freq
18079352,2,freq
52984816,2,freq
107228550,2,churn
141534479,2,freq
124872625,2,freq
26032588,2,freq
40319961,2,freq
27691004,2,freq
106839999,2,freq
119860376,2,churn
119853456,2,freq
19846894,2,churn
18471269,2,freq
27220654,2,churn
42087665,2,freq
84762987,2,freq
106149147,2,freq
33333054,2,churn
46281068,2,churn
129894656,2,freq
64498897,2,churn
143973257,2,churn
50662465,2,freq
81565575,2,freq
78414573,2,freq
117536594,2,freq
43235173,2,freq
93881805,2,freq
117033637,2,freq
47233089,2,freq
63276033,2,freq
104271157,2,churn
36184299,2,freq
113924901,2,freq
127219319,2,freq
21725576,2,freq
126282855,2,freq
66611152,2,freq
