plu_code,hive_dataflow_dttm,dataflow_id,dataflow_dttm,plu_rk,plu_cmh_rk,plu_cmh_id,plu_nm,plu_type_dk,control_category_dk,control_category_desc,plu_hierarchy_lvl_1_dk,plu_hierarchy_lvl_1_desc,plu_hierarchy_lvl_2_dk,plu_hierarchy_lvl_2_desc,plu_hierarchy_lvl_3_dk,plu_hierarchy_lvl_3_desc,plu_hierarchy_lvl_4_dk,plu_hierarchy_lvl_4_desc,financial_group_dk,financial_group_desc,plu_own_production_flg,plu_hierarchy_lvl4_acrm_id,synthetic_catalog_acrm_id,synthetic_catalog_nm,synthetic_catalog_code,segment_prod_nm,segment_prod_code,syntethic_category_id,price_range_dk,price_range_desc,plu_brand_code,plu_brand_hierarchy_lvl_nm,uom_code,plu_netto_weight_amt,plu_brutto_weight_amt,weight_uom_code,plu_height_amt,plu_width_amt,plu_depth_amt,best_before_day_cnt,plu_tare_type_dk,plu_tare_type_desc,plu_stm_flg,plu_tender_flg,plu_socially_significant_flg,price_segment_dk,price_segment_desc,abc_segment_dk,abc_segment_desc,vat_rate_amt,plu_origin_country_dk,plu_vendor_dk,plu_vendor_nm,alco_flg,cost,qty
3669508,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,093530fc4c1072c4c37a2d4f8331b1fb,94b679bae856e2b72934a1baf332e6ad,763354,СИГАРЕТЫ LD AUTOGRAPH BLUE,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,2580,LD,ST,0.020,0.025,кг,8.800000000000000000,5.600000000000000000,2.200000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000169,Дж.Т.И.,0,133.028236,448967.000
3276950,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,a1e49b7fcafab1cb98922916c83da9d6,47b9393784f4728e733c9d553f2f4d0e,6588,СИГАРЕТЫ PARLIAMENT AQUA BLUE,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,3374,PARLIAMENT,ST,0.025,0.025,кг,8.700000000000000000,5.600000000000000000,2.300000000000000000,730,32,Пачка,0,0,0,5,PREMIUM,3,30,20,RU,41000170,Филип Моррис,0,224.616961,456560.000
3657232,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,039f7b8b7ec77df67ba1aab1d79e444d,e71d6d099bdfc00a88e9f5f8c51459dc,769959,СИГАРЕТЫ ROTHMANS СУПЕРСЛИМС КЛИК,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,3752,ROTHMANS,ST,0.035,0.035,кг,10.000000000000000000,1.750000000000000000,3.500000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000171,Бритиш Американ Табак,0,157.866989,49971.000
3205482,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,33d36883c48b1f8d811db81ac7a15765,bd27f421375857d150ac18c5f7da69af,8861,СИГАРЕТЫ GLAMOUR AZURE,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,1822,GLAMOUR (ПЬЕР КАРДЕН),ST,0.020,0.020,кг,10.000000000000000000,5.500000000000000000,1.000000000000000000,730,32,Пачка,0,0,0,3,ВЦС,3,30,20,RU,41000169,Дж.Т.И.,0,151.876942,1609.000
3631558,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,5ee6cd6d18351c9570f86a70583caea5,d0fdeaefc910e87974625e02c63b6215,746514,СИГАРЕТЫ ЯВА 100 ЗОЛОТАЯ КЛАС.,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,8885,ЯВА,ST,0.035,0.037,кг,8.500000000000000000,4.700000000000000000,2.000000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000171,Бритиш Американ Табак,0,131.376630,571669.000
3680600,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,608a0c453eb3e55489d97bf43fa7ec7e,61484d8585d8d86440ac1cf7555912f3,780103,СИГАРЕТЫ PHILIP MORRIS COMP.PREM.ЯРК.,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,0000,БЕЗ БРЕНДА,ST,0.025,0.030,кг,8.500000000000000000,5.000000000000000000,2.000000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000170,Филип Моррис,0,129.843863,946361.000
3943663,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,61d9b1999fa28878122bff98a91d8fcf,1c4ac6c2d7bc0be2be39bc32f7f5cd97,798765,СИГАРЕТЫ CAMEL YELLOW,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,0785,CAMEL,ST,0.026,0.036,кг,8.900000000000000000,5.800000000000000000,2.400000000000000000,730,32,Пачка,0,0,0,5,PREMIUM,3,30,20,RU,41000169,Дж.Т.И.,0,195.612741,118719.000
3996063,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,92ff0c759c45da77daac1e020726f060,079668891f40e8ebc8c7a7cb1e89dfee,824425,СИГАРЕТЫ PLAY BLUE-RAY,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,0000,БЕЗ БРЕНДА,ST,0.018,0.038,кг,10.200000000000000000,5.600000000000000000,0.900000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000169,Дж.Т.И.,0,130.470409,314209.000
4133305,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,d75a601d686e2a43c909d89fa63fdacd,bd3f7d584cdad773bc15268de1e205e7,1152211,СИГАРЕТЫ CAMEL COMPACT100 TROPICAL CRUSH,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,84674,сигареты/CAMEL/ ST,0785,CAMEL,ST,0.025,0.025,кг,10.100000000000000000,5.200000000000000000,2.000000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000169,Дж.Т.И.,0,128.013055,404845.000
4169980,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,a09995f2f274b555d7e59db782983e6f,b41690c2843958ab6aa793542fbc2144,1257129,СИГАРЕТЫ WINSTON CLUB PLATINUM,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,106705,сигареты/WINSTON/ ST,4701,WINSTON,ST,0.015,0.015,кг,8.600000000000000000,5.600000000000000000,1.300000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000169,Дж.Т.И.,0,158.702924,95503.000
